state;City;share_white;share_black;share_native_american;share_asian;share_hispanic;Median_Income;percent_completed_hs;poverty_rate
CA;California ;65.1;15.2;0.9;2.6;38.1;54245;79.5;22.8
CA;California Hot;91.9;0;0;2.7;8.1;NA;100;15
IA;California Junction;98.8;0;0;0;4.7;NA;73.2;0
CA;California Pines;80;2.1;3.1;1.2;16;NA;94.6;31.3
CA;Calimesa ;86;1.1;1.3;1.3;22.4;46025;88.3;14.8
ND;Calio ;100;0;0;0;0;NA;100;0
AR;Calion ;72.3;24.7;0.4;0;2;35833;67;7.8
CA;Calipatria ;41.7;20.9;1;1.2;64.1;31019;57.3;32.6
CA;Calistoga ;72.5;0.5;0.4;0.9;49.4;52733;71.8;16.3
VA;Callaghan ;90.5;8.6;0;0;0.9;38438;92.5;28.4
FL;Callahan town;89.3;7;0.3;0.9;2.4;25641;81.2;27.6
MO;Callao ;96.2;1;0.3;0;1.4;28250;79;36.4
FL;Callaway ;71.1;18.2;0.7;4.1;5.9;48750;89.8;18.5
MN;Callaway ;50.9;0.9;35.9;0;1.7;47000;82.9;19.4
NE;Callaway village;98.3;0;0.2;0.4;1.5;43077;96.2;17.1
CA;Callender ;79.5;0.6;1.7;3.8;28.1;75179;93.4;9.3
IA;Callender ;98.7;0.3;0.3;0;0;45313;84.5;17.6
TX;Callender Lake;94;1.3;0.8;0;5.4;47644;91.5;6.5
PA;Callensburg borough;99.5;0;0.5;0;1;33036;71.1;36.8
PA;Callery borough;96.4;0;0;0.5;0.5;62250;88.6;6.1
NY;Callicoon ;97.6;0.6;0;0.6;8.4;39063;98.5;0
PA;Callimont borough;97.6;0;0;0;0;76250;75;7.5
TX;Callisburg ;98.3;0;0.3;0;4.5;49792;97.2;7.1
IA;Calmar ;98;0.3;0;0.1;2;44297;92.1;13.5
PA;Caln ;65.2;26.7;0.4;1.3;10.7;54934;89.4;12.7
CA;Calpella ;68.5;0.4;3.7;0.4;37.7;53194;75.9;29.4
CA;Calpine ;89.8;0;0;0;12.7;NA;100;14
PA;Calumet ;99.3;0.1;0.2;0;0.3;49297;89.4;10.2
IA;Calumet ;96.5;3.5;0;0;4.7;59063;97.3;12.5
MN;Calumet ;95.9;0.3;2.2;0;1.6;32589;92;29.6
IL;Calumet ;19.2;70.6;0.6;0.3;15;38557;85.5;22.2
IL;Calumet Park;6.6;88.3;0.2;0.5;6.8;47050;88.2;17.4
OK;Calumet town;78.9;0;13.6;0.4;3.9;49375;85.7;11.6
MI;Calumet village;96.8;0.4;0.4;0.3;2.5;15958;91.4;50.1
GA;Calvary ;78.9;8.7;0.6;0;13;67125;100;6.2
MD;Calvert Beach;86.9;8;0.1;0.7;5.3;88661;94;6.1
AL;Calvert ;53.1;35.4;6.9;0;2.2;NA;22.8;79.4
TX;Calvert ;44;49.2;0;0.3;12.8;19677;78.3;48.1
KY;Calvert ;98.1;0.1;0.3;0.4;0.8;42604;86;24.1
MD;Calverton ;36.2;37.5;0.4;15.8;14;75208;88.8;5.7
NY;Calverton ;87.2;8;0.2;0.9;7;46176;89.9;6.3
VA;Calverton ;82;10.9;2.5;1.3;2.1;31540;81.6;0
MO;Calverton Park;53.4;42.2;0.2;0.9;2.9;38800;84.9;16.6
ND;Calvin ;100;0;0;0;0;128750;100;0
OK;Calvin town;83;0;9.5;0.7;7.8;27500;77.8;27.6
LA;Calvin village;87.4;11.8;0;0;0;33125;95.6;30.4
CA;Calwa ;48.5;1.2;3.3;2.1;90.1;26103;63.1;45
NC;Calypso town;54.8;19.3;0.4;0;26;37750;71.6;32.7
GA;Camak town;48.6;50;0;0;1.4;46125;86.3;15.5
IA;Camanche ;97.6;0.6;0.2;0.4;2.1;56318;96.8;17.9
CA;Camanche North;87.8;0.3;1.4;1.2;15.3;65231;84.9;4.6
CA;Camanche Village;90;0;1.1;0.9;14.3;79150;93.5;0.6
TX;Camargito ;100;0;0;0;99.5;16063;19.4;49.2
KY;Camargo ;97.3;0.1;0.4;0.1;2.6;36786;73.2;21.6
OK;Camargo town;90.4;0.6;2.2;0;8.4;43594;75.2;10.8
IL;Camargo village;98.7;0;0;0;2.7;41750;93.1;13.1
CA;Camarillo ;75.1;1.9;0.6;10.2;22.9;88152;92.2;6.4
MT;Camas ;70.7;0;22.4;0;3.4;NA;87.5;48.6
WA;Camas ;87.4;1;0.6;6;4.1;90136;94.7;3.7
CA;Cambria ;85.6;0.3;0.8;1.3;19.7;60858;90.2;6.9
IL;Cambria village;96.3;1.4;0;0.2;1.5;34167;81.9;26.7
WI;Cambria village;91.7;0.8;0.1;0.4;12.1;52031;87.4;17.2
CA;Cambrian Park;79.2;0.8;0.9;6.7;18;101618;91.7;3.1
ID;Cambridge ;98.2;0;0.6;0;0.3;28750;80.4;12
IA;Cambridge ;97.1;0.4;0.5;0.6;2.9;54196;92.9;6.5
KS;Cambridge ;98.8;0;1.2;0;1.2;50625;93;2.5
KY;Cambridge ;96;0.6;0.6;2.3;5.1;51250;92.9;19.4
MD;Cambridge ;45.9;47.9;0.4;1.3;4.9;35354;83.7;26.2
MA;Cambridge ;66.6;11.7;0.2;15.1;7.6;79416;94.3;14
MN;Cambridge ;94.5;1;0.5;1.4;1.7;43630;85.9;11.1
NE;Cambridge ;98.6;0.4;0;0.1;1.3;41827;86.6;6.8
OH;Cambridge ;92.7;3.4;0.3;0.3;1.2;29020;85.1;30.8
IN;Cambridge ;98.5;0.2;0.5;0.3;0.9;34735;81.5;18.6
PA;Cambridge Springs;84.9;12.8;0.3;0.3;3.5;45694;87.5;14.6
IL;Cambridge village;96.2;1.6;0.3;0.6;2.1;54821;90.8;8.1
NY;Cambridge village;96.1;1.1;0.1;0.9;1.3;43750;86.3;16.1
VT;Cambridge village;95.3;0.4;0.4;0;0;53750;92.9;8.5
WI;Cambridge village;96.8;0.9;0.3;0.5;1.7;62708;96.1;10.5
WV;Camden-on-Gauley town;100;0;0;0;0;27500;76.1;35.7
ME;Camden ;97.3;0.3;0.1;0.9;1.2;49979;96.5;10.2
NC;Camden ;84.3;8.7;0.7;1.3;3.8;51055;93.2;9.4
AL;Camden ;42;57.4;0.1;0;0.7;28375;82.8;31.9
AR;Camden ;40.7;56;0.3;0.5;1.6;25256;82;31.4
MO;Camden ;99;0;0;0;0.5;36042;78;16.1
NJ;Camden ;17.6;48.1;0.8;2.1;47;25042;67.6;39.9
SC;Camden ;62.2;35.1;0.2;0.7;2.4;41351;84.9;18.2
TN;Camden ;92.7;4.1;0.4;0.3;3.2;28073;78.6;34.1
MO;Camden Point;98.1;0.6;0.4;0;1.3;75714;93.1;6.6
DE;Camden town;66.1;23.6;0.3;3.7;5.5;59721;91.8;4.4
IN;Camden town;98.2;0.3;0.2;0;0;42292;89.9;11.9
IL;Camden village;98.8;0;1.2;0;0;38409;90.7;31.5
MI;Camden village;99.4;0;0.2;0;0.2;31136;80.8;27.8
NY;Camden village;97.8;0.4;0.3;0.3;0.7;35926;88.1;20.6
OH;Camden village;98.8;0.1;0.2;0;1.1;40915;79.7;19.4
MO;Camdenton ;95;0.3;0.4;0.5;3.7;31099;80.5;26.4
AZ;Cameron ;2.5;0;94;0;4.1;35000;71.1;38.2
LA;Cameron ;92.4;2.5;2;0;2.5;64491;70.9;8.4
MO;Cameron ;82.9;14.8;0.5;0.5;2;38101;83.4;22.2
TX;Cameron ;65.6;20.2;0.6;0.4;33.6;34058;75.3;19.7
WV;Cameron ;98.6;0.2;0;0.4;0.6;31250;81;25.3
CA;Cameron Park;89.1;0.8;1.1;2.3;11.3;75073;92.9;9.9
TX;Cameron Park;88.4;0.1;0.3;0.1;99.3;24051;33.3;51.1
NC;Cameron town;71.2;22.5;2.1;0.4;2.1;35781;82.9;18.8
OK;Cameron town;72.5;0;17.2;0;2;26000;72.4;42.8
SC;Cameron town;63.2;33.7;0;0.2;1.2;38750;89.4;18.4
WI;Cameron village;97;0.4;0.2;0.5;2;42463;92.3;10.4
GA;Camilla ;24.9;69.2;0.3;0.9;4.6;24549;72.5;33.3
NY;Camillus village;94.2;3.5;0.4;0.2;1.8;49688;96.9;10.1
CA;Camino ;91.7;0.4;0.8;1;11.3;71944;94.5;11.9
CA;Camino Tassajara;39.9;2.4;0.2;50.8;6.3;160583;97.4;8
AR;Cammack Village;96.9;0.5;0;1.2;2.3;63750;99;5.7
SD;Camp Crook;100;0;0;0;1.6;43333;96;38.8
OH;Camp Dennison;75.2;19.5;0;0;2.4;65848;85.4;18.7
WI;Camp Douglas;97.5;0.5;0.2;0.3;0.8;36563;90.4;14.3
PA;Camp Hill;88.8;1.8;0.1;6.7;2.7;67888;96.1;4.2
AL;Camp Hill;10.2;88.4;0.1;0.1;0.7;25118;76.6;36.6
WI;Camp Lake;95.9;0.4;0.4;0.5;5.4;54167;85.8;13.6
CA;Camp Nelson;96.9;0;0;0;6.2;NA;100;0
CA;Camp Pendleton;71.7;9.6;1.6;2.9;22.3;39714;98.9;10.8
CA;Camp Pendleton;70.9;9.3;1.4;2.8;24.4;41715;100;9
IL;Camp Point;98;0.2;0.4;0.2;0.9;42240;83.3;11
OR;Camp Sherman;95.7;0;0.4;0.4;0;54971;99.3;6.5
MD;Camp Springs;11.1;78.8;0.4;2.4;8.2;82674;92.4;5.6
TX;Camp Swift;63.1;10.5;1.9;0.5;44;44886;75;17.1
MT;Camp Three;93.6;0;4.6;0;0;58864;100;9.9
AZ;Camp Verde;81.7;0.5;7.2;0.4;16.4;32957;83.9;25.4
TX;Camp Wood;89.9;0.7;1.6;0;36.1;28403;65.5;37.9
FL;Campbell ;90.3;2.3;0.2;1.4;15.5;31939;88.4;16.3
NY;Campbell ;97.2;0.1;0;0.1;0.7;40313;92.1;11.1
CA;Campbell ;66.9;2.9;0.7;16.1;18.4;96906;93.8;6.2
MN;Campbell ;98.7;0.6;0.6;0;3.2;52500;96.8;5.9
MO;Campbell ;97.8;0.1;0.3;0.1;2.1;21901;69;31.1
OH;Campbell ;69.1;21.2;0.3;0.4;15.8;29554;83.1;26.8
TX;Campbell ;90.8;2.2;1.4;0;6;46750;87.6;10.7
IL;Campbell Hill;98.5;0;0.3;0.3;0.3;47969;89.9;16.2
AR;Campbell Station;96.5;2.7;0.4;0;0;50833;84.8;13.3
NE;Campbell village;97.4;0;1.2;0;0.9;37500;85.1;12.2
KY;Campbellsburg ;95.3;2.1;0.1;0.4;0.6;41818;86.8;10
IN;Campbellsburg town;98.5;0.2;0;0.3;1;27708;84.5;33.6
WI;Campbellsport village;98.2;0.2;0.3;0.2;1;55104;90.1;10.9
KY;Campbellsville ;86.4;9.5;0.1;0.6;2.1;28673;81.9;24.8
FL;Campbellton town;33.9;64.8;0;0.4;0.4;34750;75.7;8.9
PA;Campbelltown ;95;1;0.1;2.3;2.3;65197;95.6;3.2
AZ;Campo Bonito;90.5;0;0;0;18.9;NA;100;0
CA;Campo ;77.6;4.2;3.4;1.2;29.6;57521;75.8;26.8
CO;Campo town;89;0;4.6;0.9;12.8;NA;87.8;39
TX;Campo Verde;100;0;0;0;100;NA;9.9;0
SC;Campobello town;86.7;9.4;0;2.2;1.6;36458;82.2;23.8
LA;Campti town;27.4;70;0.5;0.1;0.8;15428;69;52.2
KY;Campton ;98.2;0;0.2;0;1.4;15357;80.6;54.5
IL;Campton Hills;95.4;0.5;0.2;1.8;3.6;118664;98.1;4.3
CA;Camptonville ;74.1;0;9.5;1.3;3.2;32125;89.1;15.7
VA;Camptown ;40.2;57.3;0.1;0;2.6;14965;68.3;41.3
IL;Campus village;96.4;0;0;0;3.6;42750;99;25.3
VA;Cana ;96.3;0.6;0.1;0;2.7;35648;67.7;21.8
CT;Canaan ;95;1.4;0.2;0.6;10.5;48438;91;11.1
IN;Canaan ;94.4;0;0;0;1.1;NA;100;0
NH;Canaan ;94.1;0;0.2;3.1;1.5;46250;98.4;19
VT;Canaan ;98.7;0;0;0.5;0.8;34464;86;19.9
MI;Canada Creek;97.4;0;0.7;0.3;0.3;52344;97.2;0
TX;Canadian ;85.6;0.2;0.5;0.3;33.9;55761;77.7;16
MI;Canadian Lakes;97.2;0.8;0.5;0.4;1.2;55179;96.2;5
OK;Canadian town;80.5;0;10.9;0;3.6;46250;86.7;16.2
PA;Canadohta Lake;98.8;0;0;0;1.2;35500;91.3;7.1
NY;Canajoharie village;95;2.2;0.4;0.6;2.3;45455;85.2;20.9
OH;Canal Fulton;97;0.6;0.1;0.4;1.5;44132;92.6;11.6
OH;Canal Lewisville;96.3;1.3;0;0;0.3;23500;88.5;23.2
FL;Canal Point;71.1;20.2;0.3;0;29.7;36553;80.5;19.9
MO;Canalou ;96.2;1.2;0.9;0;0.6;37083;73.2;24.8
NY;Canandaigua ;95.1;1.8;0.3;0.7;2;43185;93.8;15.4
NY;Canaseraga village;97.5;0.2;0.5;0;1.3;29875;87.3;29.7
NY;Canastota village;95.9;1;0.5;0.5;2;47431;94.3;16.2
CA;Canby ;92.7;0.6;2.2;0.3;7.6;45463;84.8;19.3
MN;Canby ;97.9;0.3;0.1;0.3;2.4;40066;84.2;17.3
OR;Canby ;81;0.6;1.2;1.1;21.3;61760;87.6;12.7
GA;Candler-McAfee ;6.4;91.3;0.3;0.2;1.3;34443;80.2;28
OH;Candlewood Lake;97.8;0.3;0.4;0.4;0.7;59738;94.9;7.4
ND;Cando ;96.1;0.2;2.3;0;0.5;48125;91;19.8
NC;Candor town;54.8;10.7;1.9;0.4;40.6;37400;79.3;25.7
NY;Candor village;97.3;0.8;0.1;0;1.6;50417;90.7;15.6
AZ;Cane Beds;94.4;0.7;2.2;0.2;2;47647;100;16.9
SC;Cane Savannah;60.8;35.7;0.4;0.2;1.3;48125;91.8;18
KS;Caney ;86.2;0.7;5.8;0.2;5.1;27419;86.7;27.1
TX;Caney ;72.4;26.3;0;0.5;1.4;33750;73.3;21.2
OK;Caney town;74.6;0;10.7;0.5;0;33438;81.4;20.3
KY;Caneyville ;97.2;0.8;0.3;0;0.8;27946;70.3;28.1
OH;Canfield ;96.4;0.4;0.1;1.8;1.5;67543;97.8;5.7
NY;Canisteo village;98.5;0.5;0.1;0.4;1.1;42422;91.3;16.4
SD;Canistota ;95;0;2;0.5;2.3;50882;87.2;12.6
NM;Canjilon ;63.7;0.8;1.2;0.4;93.8;41071;82.4;5.9
LA;Cankton village;87.8;9.1;0;0;2.7;49583;75.2;22.6
IN;Cannelburg town;99.3;0;0;0;0.7;59167;75.2;19.2
IN;Cannelton ;97.4;0.1;0.6;0.1;0.8;25457;81.4;26.6
NM;Cannon AFB;72.1;13;1.3;2.6;15.1;41023;98.9;9.6
ND;Cannon Ball;4.8;0.1;92.9;0;1.4;31932;79.6;45.6
OR;Cannon Beach;88.4;0.1;0.4;0.4;12.7;50913;91.9;18.8
MN;Cannon Falls;96.3;0.4;0.5;0.5;2.2;43092;93.3;19.1
CT;Cannondale ;90.8;4.3;0;2.1;2.8;NA;100;8.5
KY;Cannonsburg ;98.1;0.4;0.4;0.1;1.1;34815;79.9;26.3
UT;Cannonville town;95.2;0;0.6;0;1.2;56667;93.5;3
GA;Canon ;90.4;2.9;0.7;1;6.6;27083;49.5;28.5
PA;Canonsburg borough;87.4;7.6;0.1;1;1.8;46547;90.7;11.2
GA;Canoochee ;76.1;22.5;0;1.4;0;NA;93.1;16.1
NM;Canova ;83.1;0;5.9;0.8;76.3;NA;NA;NA
SD;Canova town;98.1;1.9;0;0;7.6;48125;92.4;8
WA;Canterwood ;87.9;0.9;1;5.4;3.3;126417;98.8;0.4
PA;Canton borough;97.4;0.1;0.3;0.1;1.4;35357;89;21.7
GA;Canton ;75.6;8.9;0.8;1.3;22.5;50763;77.1;19
IL;Canton ;86.1;8.2;0.5;0.5;4.5;37643;84.5;19.2
KS;Canton ;96.9;0.4;0.1;0.1;1.9;51908;87.2;8.4
MN;Canton ;99.7;0;0;0;0.6;33365;82.3;14.2
MS;Canton ;19.5;74.7;0.2;0.6;5.5;39910;71.8;26.7
MO;Canton ;92;5.3;0.2;0.5;1.8;36625;86.6;17.8
OH;Canton ;69.1;24.2;0.5;0.3;2.6;29418;83.8;32.3
SD;Canton ;95.8;0.3;1.3;0.8;1.7;46368;94.1;7.8
TX;Canton ;91.1;2.3;1.1;1;7.3;38553;82.7;19.1
ND;Canton ;97.8;0;0;0;0;NA;78.6;0
NC;Canton town;93.6;1.8;0.7;0.1;5;34388;79.9;16.9
OK;Canton town;73;0;18.6;0.2;7.2;51136;86.7;8.8
CT;Canton Valley;95.3;1.1;0;1.2;2.2;81250;94;3.3
NY;Canton village;88;6.2;0.5;1.9;4.4;48988;90.6;19.6
IL;Cantrall village;94.2;0;0.7;0;5.8;NA;98.5;5.2
IA;Cantril ;98.6;0;0;0.5;0.5;34583;83.6;21.6
TX;Cantu Addition;92.6;0;0.5;0;95.7;37188;82.5;10
CA;Cantua Creek;52.4;1.1;0.6;0.2;98.9;31806;22.6;32.7
AK;Cantwell ;77.2;0.5;15.5;0;1.4;56000;95;9.1
OK;Canute town;89.1;0.2;2.2;0;9.1;42250;86.9;16.7
TX;Canutillo ;94.7;1.1;0.2;0.4;90.8;31971;65;31.4
TX;Canyon ;88.5;2.4;0.7;1.8;15.7;43027;90.3;20.1
OR;Canyon ;95.2;0;2.7;0.3;2.6;36528;90.4;9.8
TX;Canyon Creek;87.7;0.9;1.2;0.2;14.6;37308;79.9;45.8
WA;Canyon Creek;92.5;0.4;0.8;0.9;4.6;64435;91.1;4.5
AZ;Canyon Day;0.1;0;99.5;0;1.2;30000;73.4;43.8
TX;Canyon Lake;92.7;0.7;0.7;0.5;13.4;56544;92.2;9
CA;Canyon Lake;89.9;1.2;0.6;1.8;12.3;78556;95.9;6.5
CA;Canyondam ;83.9;0;9.7;6.5;6.5;NA;62.7;0
OR;Canyonville ;86.3;0.4;2.7;4.6;5.5;37763;79.8;19.7
MI;Capac village;87.7;0.3;0.6;0.1;18.9;47054;84.8;16.1
FL;Cape Canaveral;92.9;2.4;0.3;1.8;5.7;44802;93.4;13.4
NC;Cape Carteret;95.3;1.1;0.6;1.8;1.6;70139;96.8;6.8
VA;Cape Charles;64.6;31.1;0.3;0.4;7.4;33281;84.3;27
FL;Cape Coral;88.2;4.3;0.3;1.5;19.5;50536;90.4;14.2
MO;Cape Girardeau;81.1;12.8;0.2;1.9;2.8;40107;88.7;25.9
NJ;Cape May;89;4.9;0.3;0.7;8.6;50625;91.3;12.9
NJ;Cape May;85.1;9.3;0.1;2.4;3;66458;88.8;8.8
NJ;Cape May;94.5;2.7;0;0.3;0.3;53125;99.6;12.5
OR;Cape Meares;96;0;0;0;0;51111;100;5.2
ME;Cape Neddick;98.2;0.3;0.1;0.2;1.1;69194;98.9;7.3
TX;Cape Royale;93.9;3.6;0.7;0;4.5;81250;97.2;4
MD;Cape St.;90.8;4.3;0.3;1.6;4.5;88965;96.8;2.6
NY;Cape Vincent;97.4;0.4;0;0;2.3;47188;95.6;6.5
NM;Capitan village;84.4;0.5;0.9;0.1;24.8;36103;89.9;25.5
MD;Capitol Heights;3.3;91.3;0.3;0.1;5.4;75788;79.7;13
CA;Capitola ;80.3;1.2;0.6;4.3;19.7;57458;92.5;10
WV;Capon Bridge;96.9;1.7;0;0;3.1;27500;85.7;12.3
OK;Capron town;100;0;0;0;0;NA;0;33.3
VA;Capron town;81.9;17.5;0;0;0;53750;87.5;13.5
IL;Capron village;80.1;1.1;1.1;0.4;30.9;52700;72.5;20
HI;Captain Cook;31.4;0.7;0.4;27.6;9.5;66276;94.5;8.8
VA;Captains Cove;90.5;6.5;0;1.1;2.3;47583;87.8;15.2
FL;Captiva ;78;20.1;0;1;3.6;61406;91.3;63.8
CO;Capulin ;56;1;6;1;83;23125;78;13.9
NM;Capulin ;93.9;0;0;0;36.4;31250;83.6;4
AR;Caraway ;98.5;0.2;0.2;0;3.3;37917;79.2;22.3
IA;Carbon ;97.1;0;2.9;0;2.9;28750;92.6;14.8
IL;Carbon Cliff;79.9;12.4;0.3;0.6;10;35045;86.7;20.7
OH;Carbon Hill;94.8;0;1.7;1.3;0.4;NA;84;22.3
AL;Carbon Hill;89.4;8.2;0.2;0.1;1.2;25990;65.4;32.2
IL;Carbon Hill;99.4;0;0;0.6;4.1;47708;88.7;18.6
IN;Carbon town;96.7;0;0;0;3;38750;81.2;24.3
TX;Carbon town;89;0.7;0;0;15.8;18750;69.5;28.8
WA;Carbonado town;93.1;0.7;1;1.1;4.8;63036;90.3;11.5
IL;Carbondale ;62.4;25.6;0.4;5.7;5.4;17764;93.1;49.3
KS;Carbondale ;95.8;0.3;1.2;0.2;2.9;39934;92.1;18.8
PA;Carbondale ;96.3;1;0.2;0.4;3.1;32443;86.9;22.4
CO;Carbondale town;74.8;1.1;0.9;0.6;39.3;62770;80.3;9.8
UT;Carbonville ;90;0.3;1.6;0.1;12.3;37500;86.8;22.7
AL;Cardiff town;94.5;5.5;0;0;0;NA;72.7;30
OH;Cardington village;97.9;0.1;0;0.2;0.8;32879;85.1;27.2
MT;Cardwell ;98;0;0;0;0;87500;100;0
MO;Cardwell ;96.4;0.4;0.3;0;3.4;28807;63.9;38.1
AZ;Carefree town;95.5;0.5;0.3;1.7;2.9;93014;99.4;9.6
LA;Carencro ;53.5;41.7;0.6;0.7;5.1;41542;75.3;12.9
ID;Carey ;88.9;0.7;0.3;0.3;12.1;61750;96;8.7
OH;Carey village;96.2;0.2;0.2;1.6;2;40710;89.9;10.8
CA;Caribou ;NA;NA;NA;NA;NA;NA;NA;NA
ME;Caribou ;96;0.4;1.4;0.7;0.8;35532;83.8;20.5
TX;Carl's Corner;88.4;2.9;0.6;0;25.4;36250;72;22.6
MO;Carl Junction;93.3;1;1.3;1;2.9;55250;94.6;10.8
GA;Carl town;85.1;7.1;0.4;4.3;3.9;42500;89;32.1
NY;Carle Place;84.2;2.1;0.1;7.9;11.1;98269;86.8;9.1
MI;Carleton village;96.7;0.2;0.5;0.7;2;45588;88.4;13.3
NE;Carleton village;96.7;1.1;0;0;0;45139;95.1;11.6
NV;Carlin ;91.8;1.8;1.5;0.6;10.1;79306;89.7;3.4
IL;Carlinville ;96.5;1.5;0.2;0.5;1.1;39121;86.1;17.6
AL;Carlisle-Rockledge ;95;0.9;0.9;0.1;3.1;35938;73.1;17.2
PA;Carlisle borough;84.3;8.3;0.2;2.3;4.5;47672;90.4;18.8
OK;Carlisle ;61.7;2;28.1;0;0.7;72604;77.1;9.5
AR;Carlisle ;85.6;12.5;0.2;0.2;1.4;47069;83.7;5.9
IA;Carlisle ;96.7;0.4;0.1;0.5;2;57794;97.1;6.5
KY;Carlisle ;97.1;0.8;0;0.3;1.3;26607;79.1;25
IN;Carlisle town;97.1;0;0.6;0;2.7;46944;89.7;17
SC;Carlisle town;8.9;87.8;0;0.2;0;23056;78.4;24.4
IL;Carlock village;90.2;7.6;0;0.5;1.6;52188;92.2;7.9
MD;Carlos ;100;0;0;0;0;50000;100;0
MN;Carlos ;99;0.8;0;0;0.4;56736;93.9;7.5
TX;Carlsbad ;85.1;6.1;0.4;0;16.8;44722;76.9;7.5
CA;Carlsbad ;82.8;1.3;0.5;7.1;13.3;90597;95.8;9.1
NM;Carlsbad ;77.4;1.9;1.3;1;42.5;51097;85.6;13.5
WA;Carlsborg ;92.7;0.3;0.8;2.2;3.4;29375;100;13.5
NJ;Carlstadt borough;81.4;2.4;0.2;8.2;18;70056;88.7;4.2
AL;Carlton ;66.2;33.8;0;0;3.1;NA;77;18.9
MT;Carlton ;96.3;0;1.3;1.2;0.9;68646;93.1;0
GA;Carlton ;77.7;20.4;0.8;0.8;1.2;37679;75.2;22.5
KS;Carlton ;100;0;0;0;0;49375;91.7;0
MN;Carlton ;92;0.5;4.3;0.3;1.5;43438;89.8;13.2
OR;Carlton ;90.6;0.2;0.9;0.8;5.8;53125;89.3;5.1
IL;Carlyle ;95.2;2.7;0;0.9;1.3;60492;90.3;9.2
LA;Carlyss ;89.1;7.4;0.3;1;1.7;51518;85.6;16.7
CA;Carmel-by-the-Sea ;93.1;0.3;0.2;3;4.7;74758;97.3;8.1
IN;Carmel ;85.4;3;0.2;8.9;2.5;106433;97.9;3.9
NY;Carmel Hamlet;90.3;3;0.2;1.9;13.1;83636;86.1;5.6
CA;Carmel Valley;91.8;0.5;0.5;1.6;7.4;88516;92.1;4.7
OK;Carmen town;96.9;0.3;0.8;0.6;2.5;51250;92.5;8.3
CA;Carmet ;91.5;0;0;2.1;0;NA;100;53.3
IL;Carmi ;97.4;0.6;0.3;0.3;1.8;36759;87.1;17.3
CA;Carmichael ;80.6;4.8;0.9;4.3;11.7;54322;93.4;16.6
PA;Carmichaels borough;96.7;0.8;0;0;0.4;36250;88.6;15.2
TX;Carmine ;95.6;2.4;0;0;8.4;45000;79.2;8.5
WA;Carnation ;85.8;0.9;1;3.1;12.7;73611;85.7;6.2
PA;Carnegie borough;87.7;7.4;0.2;1.6;1.6;40838;93;23.2
OK;Carnegie town;61;0.8;25.1;0;14.7;31216;81.7;24.2
CA;Carnelian Bay;94.1;0.2;0.8;2.7;2.5;83750;97.2;12.5
GA;Carnesville ;82.3;14.7;0;0.7;2.1;30625;81.9;35.4
MD;Carney ;75.4;14.3;0.2;7;3.2;59282;92.5;8.6
OK;Carney town;82.2;0.6;7.7;0;0.9;41250;82.2;28.3
MI;Carney village;97.4;0;0.5;0.5;0.5;38750;84.2;17.7
NJ;Carneys Point;72.8;17.9;0.2;0.7;11.7;53024;82.9;12.4
PA;Carnot-Moon ;86.8;6.4;0.1;3.5;2.5;57639;93.1;12.5
NM;Carnuel ;78.4;0.6;2.3;0.6;53.3;37962;77.2;18.2
NY;Caroga Lake;97.9;0;0.2;0.4;0.2;45083;97.5;7.1
IL;Carol Stream;70.7;6.1;0.3;14.6;14.2;73229;90.4;8.6
NC;Caroleen ;82.4;10;0.3;0;6.1;NA;85.9;10.6
NC;Carolina Beach;96.1;0.7;0.7;0.4;1.6;60057;95;12.4
RI;Carolina ;96.6;0.5;0.4;0.4;1.1;83594;93.8;3.6
WV;Carolina ;80.3;12.7;0.2;0;0.2;NA;85.4;22.3
NC;Carolina Shores;95.9;1.6;0.3;0.5;2.1;49024;89;9.9
AL;Carolina town;96.6;0.3;0.3;0;0;50278;87.8;7.4
WI;Caroline ;97.4;0.4;0.7;0;0.4;57083;85.9;16.7
MI;Carp Lake;91.9;0.6;3.4;0;0.6;49583;84.2;9
WV;Carpendale town;98.9;0.5;0.1;0.3;0;39659;89.5;5.3
WY;Carpenter ;100;0;0;0;7.4;NA;100;0
IA;Carpenter ;98.2;1.8;0;0;0;NA;90.1;0
IL;Carpentersville village;62.9;6.8;0.5;5.5;50.1;58008;71.6;16.7
CA;Carpinteria ;71.7;0.8;1.1;2.3;48.7;71174;79.5;9.3
ND;Carpio ;99.4;0;0.6;0;0;50250;90.9;10.2
FL;Carrabelle ;69.5;27.6;0.3;0.4;8.7;31837;70.3;29.2
NC;Carrboro town;70.9;10.1;0.4;8.2;13.8;51182;93.1;15.2
CA;Carrick ;84;5.3;1.5;1.5;6.1;NA;100;0
IL;Carrier Mills;84.3;13;0;0.1;1.1;30286;79;25.3
OK;Carrier town;92.9;0;1.2;0;0;73750;97.7;0
ND;Carrington ;98.1;0.1;0.7;0.1;0.7;52163;86.9;9.2
AZ;Carrizo ;1.6;0;98.4;0;0.8;22946;53.2;65.9
TX;Carrizo Hill;89.3;0.2;0;0;95.5;61689;54.1;3.4
TX;Carrizo Springs;87;1.3;0.4;0.7;89.6;38125;73.3;15
NM;Carrizozo town;78.7;0.7;2.6;0;43.6;22841;83.9;34.3
IA;Carroll ;96;0.5;0.1;0.7;2.4;43078;91.2;11.8
PA;Carroll Valley;97.3;0.6;0.2;0.5;1.4;85417;97.6;1.3
NE;Carroll village;96.5;0;0;0.4;7;38750;86.8;13.2
